	dtm	0.1	0.2	0.3	0.4	0.5
1261	2019-12-27 06:30:00	0.01679725098137091	2.3991792920436427e-05	7.624731378457948e-06	3.921259343702986e-06	3.2260631143570546e-06
1262	2019-12-27 07:00:00	0.008680469019872624	8.249055217773843e-06	1.7863950825421857e-06	1.603498401992285e-06	1.1161516520527968e-06
1263	2019-12-27 07:30:00	0.01373190479499158	6.95521099879758e-06	1.1892592571145041e-06	1.4535845844858923e-06	8.44770207007714e-07
1264	2019-12-27 08:00:00	0.07858517894996682	1.804512799485164e-05	6.240192529704668e-06	4.408877287188316e-06	3.391435820442715e-06
1265	2019-12-27 08:30:00	0.00974377849900312	5.349644236802335e-06	1.30280560065e-06	1.0802522552363321e-06	1.7356892840091698e-06
1266	2019-12-27 09:00:00	0.004852473615094925	7.591157383630202e-06	1.432119976728334e-06	1.2091413918013778e-06	1.6097012976700407e-06
1267	2019-12-27 09:30:00	0.04064397808798943	1.115524011946074e-05	4.2627779627507604e-06	3.9367520021439e-06	2.1512108492202867e-06
1268	2019-12-27 10:00:00	0.0056289133999471	1.157729396700557e-05	3.819042902195083e-06	3.3418395061365437e-06	2.088484651903856e-06
1269	2019-12-27 10:30:00	0.006015779628916753	1.5450136773034094e-05	3.3137529863530686e-06	2.0742246315742986e-06	2.6443175482994015e-06
1270	2019-12-27 11:00:00	0.005499796853687609	1.845678618808927e-05	5.656525576065747e-06	3.632134288879619e-06	3.2344473334882395e-06
1271	2019-12-27 11:30:00	0.04029661049619618	4.825940310856066e-05	1.69034224518454e-05	1.0763601451105305e-05	1.000421596287984e-05
1272	2019-12-27 12:00:00	0.020552686312461127	7.457495094905969e-06	1.644540559682793e-06	1.0525816014818713e-06	3.016106346679361e-06
1273	2019-12-27 12:30:00	0.012748007603400497	8.841032278048824e-06	2.202667247156732e-06	1.9206271329544706e-06	3.300092602537341e-06
1274	2019-12-27 13:00:00	0.011874381521799395	8.564025365508078e-06	1.2058926132891694e-06	8.674120868303252e-07	1.7064824531549584e-06
1275	2019-12-27 13:30:00	0.05939239422253204	6.496610962709903e-06	1.359610575565066e-06	1.4301227972391425e-06	1.7664070518962284e-06
1276	2019-12-27 14:00:00	0.033256573269433376	6.73662981796129e-06	1.4355363599422269e-06	1.6737164743344298e-06	1.4662373331569523e-06
1277	2019-12-27 14:30:00	0.04003126030295778	6.134473252302779e-06	1.5943768094112603e-06	2.454826389775101e-06	1.4138779365927464e-06
1278	2019-12-27 15:00:00	0.015034669697444988	4.7945062450686835e-06	1.609266620263661e-06	2.3637397756893013e-06	9.548680029817187e-07
1279	2019-12-27 15:30:00	0.016917554502522168	1.578673818424124e-05	5.199738160355876e-06	4.3219559031580344e-06	4.391801305495441e-06
1280	2019-12-27 16:00:00	0.008131281857397985	5.2168453731047084e-06	2.980462306087829e-06	1.1527437698766681e-06	8.146682854854444e-07
1281	2019-12-27 16:30:00	0.014335245259974963	9.122846767929036e-06	4.150020333113077e-06	3.342361072019075e-06	2.076291686550706e-06
1282	2019-12-27 17:00:00	0.030796410502578857	6.023641844032444e-06	3.1154073930313706e-06	2.5695700063668845e-06	1.6787456736118169e-06
1283	2019-12-27 17:30:00	0.010058254631151299	4.636323020401407e-06	1.5409089166755544e-06	1.9631948257140906e-06	3.2362376910867007e-06
1284	2019-12-27 18:00:00	0.014498546990485129	2.0539777031161397e-05	6.952337069604055e-06	4.330394464998327e-06	5.37058013393238e-06
1285	2019-12-27 18:30:00	0.07357462385254074	2.8444566780956214e-05	1.0652730028354824e-05	7.232708650471326e-06	5.3664900824023834e-06
1286	2019-12-27 19:00:00	0.010091900206773101	6.966179868039756e-06	1.8707540764699017e-06	1.9356260077822584e-06	2.7061577228908328e-06
1287	2019-12-27 19:30:00	0.014299877896204159	7.4538377449923e-06	2.0816461154440026e-06	1.938284944943955e-06	3.7342005864425874e-06
1288	2019-12-27 20:00:00	0.028100012050376936	2.4062533650702137e-05	6.812502482794407e-06	4.2844240706528255e-06	4.426244669919873e-06
1289	2019-12-27 20:30:00	0.02968049411907021	7.62552772733744e-06	1.2288834858650584e-06	1.572010629422046e-06	3.514254853577859e-06
1290	2019-12-27 21:00:00	0.012601017578844437	7.715704812840374e-06	2.0807918363710975e-06	2.7309256527571203e-06	2.0931854798016515e-06
1291	2019-12-27 21:30:00	0.0727131826926749	1.4324860529278491e-05	4.1594226131705705e-06	2.543270153074064e-06	4.966846911669624e-06
1292	2019-12-27 22:00:00	0.02367570811542483	7.520562485822193e-06	2.210720699821879e-06	2.10131214016443e-06	1.3274109228050491e-06
1293	2019-12-27 22:30:00	0.023426944085648778	1.38272154315112e-05	3.804471785910734e-06	3.0921593531227893e-06	3.959625624266184e-06
1294	2019-12-27 23:00:00	0.016571467250035304	2.3089661322363098e-05	6.3164648609133594e-06	4.7278693756580705e-06	4.1084634645435285e-06
1295	2019-12-27 23:30:00	0.008927806658314445	8.043309782375193e-06	1.6411686051683529e-06	1.8369521180559411e-06	3.3236827849430537e-06
1296	2019-12-28 00:00:00	0.02822639368106035	1.2539734891396224e-05	4.487413048184472e-06	3.2593852754718293e-06	3.505605270553992e-06
1297	2019-12-28 00:30:00	0.007549152913963355	4.8626610531544013e-05	1.3582104087034656e-05	9.38876053245585e-06	1.0767099940938633e-05
1298	2019-12-28 01:00:00	0.023054186764379713	1.0837779737466263e-05	3.5248523904822216e-06	2.8079989360368536e-06	4.559205325492165e-06
1299	2019-12-28 01:30:00	0.040817831684479985	1.1546119419622563e-05	4.43052181673632e-06	4.619925552250909e-06	2.2966704914606552e-06
1300	2019-12-28 02:00:00	0.020126849567611002	3.0019714602069445e-05	1.1376733617487656e-05	7.937536205524998e-06	5.231908290658181e-06
1301	2019-12-28 02:30:00	0.011109607430693651	9.609750221292772e-06	4.101972285317332e-06	2.0834196688804963e-06	2.104469568070633e-06
1302	2019-12-28 03:00:00	0.02310211332641614	9.023785418678844e-06	3.0772146155041834e-06	2.8617586375324784e-06	3.3687168713079993e-06
1303	2019-12-28 03:30:00	0.016776509820973787	3.1077664666812414e-05	1.238323016671497e-05	9.20401467367567e-06	5.765302255326612e-06
1304	2019-12-28 04:00:00	0.020460869870010657	4.9246902138178734e-06	2.722021572839887e-06	2.900185752185562e-06	9.368488490678257e-07
1305	2019-12-28 04:30:00	0.015223776572502828	1.5260591336193536e-05	7.752241374834374e-06	5.365910891357341e-06	2.7853847181480955e-06
1306	2019-12-28 05:00:00	0.0532944130275646	5.262431576600088e-05	1.7946716004125056e-05	1.4452572118623222e-05	9.86497918724229e-06
1307	2019-12-28 05:30:00	0.022565755366701645	1.4197431766889485e-05	5.982345883707502e-06	3.4863598486860287e-06	2.256361751952427e-06
1308	2019-12-28 06:00:00	0.025962067254302505	1.1898722468399184e-05	4.149685620338438e-06	3.126557299024378e-06	1.9254491201967875e-06
1309	2019-12-28 06:30:00	0.009393894637869537	1.2012108844646081e-05	5.39103416800255e-06	3.520002700903432e-06	2.367563314258063e-06
1310	2019-12-28 07:00:00	0.0069096952500885475	3.190941840529973e-05	9.201457740109072e-06	8.052322884332357e-06	5.426561846487853e-06
1311	2019-12-28 07:30:00	0.020608668771102307	1.569106980091327e-05	3.97538756626123e-06	3.36740764282097e-06	3.2586432487149074e-06
1312	2019-12-28 08:00:00	0.011997429487341763	1.8756222258728018e-05	4.3382410601371496e-06	3.4341757036190554e-06	3.908834871078336e-06
1313	2019-12-28 08:30:00	0.04404964910256951	1.5018669549719855e-05	3.385510911305776e-06	2.4304425678837505e-06	1.4668511373573782e-06
1314	2019-12-28 09:00:00	0.025946224212969455	2.3303638973547146e-05	4.651294161657115e-06	3.917143937153512e-06	3.587731774514573e-06
1315	2019-12-28 09:30:00	0.028974910916422566	1.64851352357441e-05	4.794473131105893e-06	3.462564933265201e-06	2.9686742341782094e-06
1316	2019-12-28 10:00:00	0.018194225437058942	1.0466274343105067e-05	2.837004486055046e-06	1.2500733767940291e-06	6.698811894921534e-07
1317	2019-12-28 10:30:00	0.014739225714723284	1.3986859396167505e-05	3.5077160306995817e-06	2.95394788131481e-06	2.33512864076441e-06
